学籍番号,氏名,問題1,問題2,問題3,問題4,問題5,問題6,問題7,問題8,問題9,問題10,問題11,問題12,問題13,問題14,問題15,問題16,問題17,問題18,問題19,問題20,問題21,問題22,問題23,問題24,問題25,問題26,問題27,問題28,問題29,問題30,問題31,問題32,問題33,問題34,問題35,問題36,問題37,問題38,問題39,問題40,問題41,問題42,問題43,問題44,問題45,問題46,問題47,問題48,問題49,問題50,問題51,問題52,問題53,問題54,問題55,問題56,問題57,問題58,問題59,問題60,問題61,問題62,問題63,問題64,問題65,問題66,問題67,問題68,問題69,問題70,問題71,問題72,問題73,問題74,問題75,問題76,問題77,問題78,問題79,問題80,問題81,問題82,問題83,問題84,問題85,問題86,問題87,問題88,問題89,問題90,問題91,問題92,問題93,問題94,問題95,問題96,問題97,問題98,問題99,問題100,問題101,問題102,問題103,問題104,問題105,問題106,問題107,問題108,問題109,問題110,問題111,問題112,問題113,問題114,問題115,問題116,問題117,問題118,問題119,問題120,問題121,問題122,問題123,問題124,問題125,問題126,問題127,問題128,問題129,問題130,問題131,問題132,問題133,問題134,問題135,問題136,問題137,問題138,問題139,問題140,問題141,問題142,問題143,問題144,問題145,問題146,問題147,問題148,問題149,問題150,問題151,問題152,問題153,問題154,問題155,問題156,問題157,問題158,問題159,問題160,問題161,問題162,問題163,問題164,問題165,問題166,問題167,問題168,問題169,問題170,問題171,問題172,問題173,問題174,問題175,問題176,問題177,問題178,問題179,問題180,問題181,問題182,問題183,問題184,問題185,問題186,問題187,問題188,問題189,問題190,問題191,問題192,問題193,問題194,問題195,問題196,問題197,問題198,問題199,問題200,
12340011,学生0011,1,3,4,5,4,1,4,4,4,2,5,2,1,4,2,3,2,3,3,5,2,4,4,5,5,5,3,3,4,2,2,2,5,5,2,4,1,4,5,4,4,5,4,2,2,5,4,2,4,2,2,5,3,5,1,2,2,3,5,3,5,2,4,3,4,2,5,1,5,4,5,3,4,5,5,2,5,1,3,2,3,5,2,4,3,1,3,4,1,5,5,5,2,1,4,4,3,2,2,5,2,1,4,1,1,1,2,2,3,2,5,5,1,4,2,5,3,2,1,2,5,2,3,1,1,4,2,4,5,4,2,5,4,3,2,1,1,1,3,2,2,5,3,2,5,2,5,1,3,1,5,1,5,4,1,4,3,3,4,4,2,2,3,1,3,4,5,1,5,3,2,2,1,1,2,2,1,4,2,1,3,2,2,1,3,1,1,2,1,1,3,2,3,1,3,1,2,2,1,4,
12340012,学生0012,1,5,2,4,4,1,4,5,5,3,2,3,2,1,2,3,1,1,3,5,3,1,4,5,5,5,3,4,4,2,5,1,4,3,2,4,1,4,5,2,4,5,3,1,2,5,4,2,5,3,2,3,3,5,1,2,2,3,2,3,3,2,1,3,5,2,4,1,3,5,5,3,3,4,5,2,5,1,2,2,3,5,3,1,3,5,3,4,2,4,5,2,2,4,5,3,3,5,4,5,2,4,1,1,2,1,3,3,1,3,5,3,4,2,2,5,5,3,1,2,5,2,1,2,3,4,2,4,4,4,1,5,2,3,1,4,1,2,2,2,3,5,2,2,5,4,3,1,1,2,5,3,3,2,1,3,5,3,4,2,2,2,2,3,5,4,2,1,2,3,2,3,2,1,3,2,2,2,2,3,1,2,2,2,2,3,3,2,4,4,3,4,4,1,3,1,2,3,1,4,
12340013,学生0013,1,4,2,2,4,3,4,4,5,5,2,2,1,5,4,5,1,3,5,5,2,5,4,5,5,3,3,1,4,4,4,2,5,4,5,4,2,4,5,2,4,5,3,2,2,5,2,4,5,4,2,3,4,5,4,2,2,4,5,1,5,2,5,3,3,3,4,1,1,4,5,3,3,2,5,2,5,3,2,5,2,5,5,1,3,2,5,4,2,3,5,5,2,2,4,4,3,2,2,5,2,4,2,1,4,1,2,2,1,3,5,5,1,5,2,5,3,1,3,2,4,5,2,1,3,4,2,4,5,4,1,3,4,3,4,2,1,5,2,2,2,3,2,2,4,4,5,1,1,1,5,1,5,4,1,3,1,3,4,4,2,3,5,3,3,1,2,1,2,3,2,2,2,1,4,2,4,4,2,1,3,4,2,1,4,3,3,2,1,4,3,3,3,1,4,4,1,3,1,4,
12340014,学生0014,2,5,2,5,5,4,5,4,5,5,5,5,1,1,2,3,3,1,3,5,2,5,4,2,5,5,3,1,4,5,2,5,5,2,2,4,1,3,3,3,4,5,3,3,2,5,2,2,5,3,2,3,5,5,5,2,5,4,4,1,5,2,2,3,5,5,4,1,2,5,3,5,3,4,1,2,5,1,3,2,1,5,5,5,3,4,5,4,2,4,5,5,2,4,4,4,2,2,2,5,2,3,2,1,2,3,2,5,1,3,5,5,1,2,2,5,3,5,3,2,5,3,2,5,5,4,2,4,5,4,1,3,2,3,1,3,1,5,2,2,3,5,2,2,1,4,5,1,1,1,5,1,5,4,1,3,4,3,4,4,2,3,5,3,5,4,2,1,2,3,2,2,2,3,4,2,4,4,2,1,3,2,2,4,4,4,3,2,4,4,3,2,3,1,3,2,2,2,1,4,
12340015,学生0015,2,5,3,3,4,1,4,4,5,5,5,2,1,5,2,5,1,4,1,5,2,2,4,5,5,5,3,3,3,2,2,2,2,3,2,4,3,4,5,2,4,3,3,2,2,5,4,2,5,3,2,3,3,5,5,2,2,4,5,1,5,4,1,3,4,2,4,1,1,4,3,4,3,2,5,2,5,1,3,4,5,5,5,1,3,4,3,3,1,4,5,5,2,1,4,3,3,2,5,5,2,4,3,1,2,1,2,2,3,3,5,5,1,2,3,4,3,1,3,2,4,3,2,5,3,4,2,2,5,4,1,3,2,3,3,1,1,5,2,2,3,3,2,1,5,4,5,1,3,1,5,1,5,2,1,3,1,3,4,4,3,3,5,3,5,4,2,1,2,3,2,4,2,1,4,2,2,2,3,1,1,4,2,2,4,4,3,2,4,4,1,1,3,1,3,1,1,3,1,4,
12340016,学生0016,2,4,2,5,4,1,4,4,5,5,5,4,1,5,2,5,5,5,3,5,2,4,4,2,5,5,3,4,4,2,2,2,1,5,2,4,1,5,5,2,4,3,3,2,2,5,2,2,1,3,2,3,4,5,1,2,2,2,3,1,5,3,5,3,1,2,4,1,5,5,3,3,3,4,5,2,5,1,2,2,1,5,5,1,3,5,5,4,2,4,5,5,2,4,3,3,2,2,4,5,2,4,2,1,2,3,3,5,1,3,5,5,4,4,2,5,3,5,1,2,3,5,2,1,2,4,2,4,5,4,1,3,2,3,1,4,1,5,2,2,1,3,2,2,5,3,5,1,3,1,5,1,5,4,1,3,1,3,4,4,2,3,5,1,3,4,2,1,2,3,4,3,2,1,4,3,3,2,2,1,3,2,2,2,4,4,3,2,4,4,3,1,3,1,3,2,1,2,1,4,
12340017,学生0017,5,2,3,5,4,3,4,4,5,3,2,2,4,1,2,3,1,3,4,5,2,1,4,2,5,3,3,1,4,2,3,2,5,2,2,4,2,5,5,3,4,2,3,1,2,5,2,2,2,2,2,3,3,5,1,2,2,4,3,1,5,2,1,3,4,4,4,1,4,1,4,3,3,4,5,2,5,2,2,5,1,5,5,1,3,3,5,4,2,4,5,5,2,4,4,3,2,2,4,5,2,4,3,1,2,1,2,1,3,3,5,5,4,2,2,5,5,2,2,2,3,5,2,1,4,4,2,4,3,4,1,2,2,3,2,2,1,5,2,2,3,5,2,2,2,4,5,5,1,1,5,3,5,5,1,3,1,3,4,4,2,4,5,3,1,4,2,1,2,3,4,3,2,1,4,2,3,2,2,1,4,2,2,2,1,4,3,2,4,1,3,2,4,3,3,1,1,2,1,4,
12340018,学生0018,2,2,1,5,5,3,4,4,3,5,5,4,1,5,4,5,4,1,5,5,2,2,4,2,5,4,3,2,4,2,2,4,1,2,2,5,1,4,2,2,4,2,2,2,2,5,2,2,5,3,2,3,2,5,5,2,2,2,5,1,5,2,1,3,2,2,4,1,1,2,1,3,4,3,3,2,5,3,2,1,3,5,5,1,3,2,2,4,2,4,5,5,2,4,4,1,3,2,1,5,4,4,2,3,1,3,3,5,1,3,4,5,5,2,2,4,3,2,2,2,5,5,2,1,2,4,2,4,2,4,5,3,2,3,4,4,1,5,2,2,3,4,2,2,1,2,5,1,1,1,5,2,5,5,1,4,1,3,4,3,2,2,5,3,5,4,3,2,2,3,2,2,2,1,4,3,3,2,4,1,3,2,3,4,3,4,2,2,2,1,1,4,4,1,3,4,3,3,1,4,
12340019,学生0019,5,5,2,5,5,1,4,4,5,5,5,5,1,5,2,3,3,1,3,3,2,3,4,5,1,5,3,4,3,3,3,2,2,2,2,5,1,4,5,2,4,3,3,3,2,5,4,2,5,3,2,3,4,5,1,2,2,1,2,3,3,4,1,3,5,5,4,1,1,2,3,3,3,2,5,2,5,1,3,2,5,5,5,1,3,2,4,4,2,4,5,5,2,4,2,4,3,2,4,5,2,4,4,1,2,3,2,5,1,3,5,5,4,2,2,4,3,2,2,2,4,5,2,1,5,4,2,2,5,4,1,3,2,3,1,4,1,5,5,2,3,5,2,2,5,4,5,1,1,1,5,4,5,1,1,3,1,3,4,4,2,3,5,3,3,4,2,1,2,3,2,3,2,1,4,2,4,4,2,1,1,2,2,1,4,4,3,2,4,1,3,4,3,1,3,1,1,2,1,4,
12340020,学生0020,2,4,3,5,1,5,5,4,2,5,4,2,1,5,2,5,1,4,3,5,2,5,4,5,5,5,3,4,3,3,1,3,4,3,3,3,1,4,5,2,4,5,3,2,2,5,4,2,4,3,2,3,3,5,4,2,2,1,3,1,5,2,1,3,3,5,5,2,1,1,3,3,3,4,1,2,5,1,5,3,2,5,5,1,1,4,5,2,1,4,5,5,2,3,2,3,1,5,5,4,4,4,2,1,4,3,1,1,3,3,4,5,2,2,2,5,3,2,3,5,4,3,2,1,3,4,2,2,5,4,1,3,4,3,3,1,1,1,2,2,3,2,3,2,5,5,5,5,3,1,5,2,5,5,1,3,1,5,4,4,2,4,1,2,1,5,5,1,2,2,4,2,2,4,2,2,4,3,2,1,3,2,1,4,3,4,2,2,2,4,3,3,3,4,4,2,1,1,1,4,
